出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類
"1120831","3577","泓格","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120318","220159",""
"1120831","3580","友威科","常會","1120530","1120401","1120530","","","","","","","0","0","","0","1120330","172934",""
"1120831","3581","博磊","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120320","183627",""
"1120831","3587","閎康","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120410","210409",""
"1120831","3594","磐儀","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120330","90702",""
"1120831","3597","映興","常會","1120524","1120326","1120524","","","","","0","0.00","0","0","","0","1120308","102104",""
"1120831","3609","三一東林","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120502","114222",""
"1120831","3611","鼎翰","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120325","101506",""
"1120831","3615","安可","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120317","145103",""
"1120831","3623","富晶通","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120324","100312",""
"1120831","3624","光頡","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120221","150433",""
"1120831","3625","西勝","常會","1120630","1120502","1120630","","","","","0","0.00","0","0","","0","1120512","142652",""
"1120831","3628","盈正","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120330","165947",""
"1120831","3629","地心引力","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120324","100826",""
"1120831","3630","新鉅科","常會","1120621","1120423","1120621","","","","","0","0.00","0","0","","0","1120512","95839",""
"1120831","3631","晟楠","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120410","173938",""
"1120831","3632","研勤","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120321","174631",""
"1120831","3646","艾恩特","常會","1120609","1120411","1120609","","","","","0","0.00","0","0","","0","1120412","173728",""
"1120831","3663","鑫科","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120505","212844",""
"1120831","3664","安瑞-KY","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120503","171922",""
"1120831","3664","安瑞-KY","臨時會","1120316","1120215","1120316","","","","","","","0","0","","0","1120215","172456",""
"1120831","3666","光耀","常會","1120526","1120328","1120526","","","","","","","0","0","","0","1120309","173605",""
"1120831","3672","康聯訊","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120330","115339",""
"1120831","3675","德微","臨時會","1120821","1120723","1120821","","","","","","","0","0","","0","1120721","185159",""
"1120831","3675","德微","常會","1120516","1120318","1120516","","","","","","","0","0","","0","1120301","144550",""
"1120831","3680","家登","常會","1120524","1120326","1120524","","","","","","","0","0","","0","1120411","183435",""
"1120831","3684","榮昌","常會","1120524","1120326","1120524","","","","","","","0","0","","0","1120301","164120",""
"1120831","3685","元創精密","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120313","151948",""
"1120831","3687","歐買尬","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120419","173957",""
"1120831","3689","湧德","常會","1120626","1120428","1120626","","","","","","","0","0","","0","1120505","85855",""
"1120831","3691","碩禾","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120329","213616",""
"1120831","3693","營邦","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120412","102000",""
"1120831","3707","漢磊","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120419","170012",""
"1120831","3709","鑫聯大投控","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120425","151824",""
"1120831","3710","連展投控","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120515","155815",""
"1120831","3713","新晶投控","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120401","183717",""
"1120831","4102","永日","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120313","171052",""
"1120831","4105","東洋","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120316","100846",""
"1120831","4107","邦特","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120411","194007",""
"1120831","4109","加捷生醫","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120418","174847",""
"1120831","4111","濟生","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120318","220642",""
